Library,Occurence,Percentage,Researcher 1,Researcher 2,Agreement,Final
com.unity3d.ads.api,815,"10,81%",Advertising,Advertising,1,Advertising
com.ironsource.environment,310,"4,11%",Advertising,Advertising,1,Advertising
com.ironsource.sdk.controller,279,"3,70%",Advertising,Advertising,1,Advertising
com.unity3d.services.core.api,234,"3,10%",Advertising,Advertising,1,Advertising
com.google.ads.conversiontracking,175,"2,32%",Advertising,Advertising,1,Advertising
com.appnext.base.b,158,"2,10%",Advertising,Advertising,1,Advertising
com.pollfish.f,127,"1,68%",Analytics,Advertising,0,Analytics
com.yandex.metrica.impl,127,"1,68%",Analytics,Analytics,1,Analytics
com.tapjoy,125,"1,66%",Advertising,Advertising,1,Advertising
com.heyzap.house,117,"1,55%",Advertising,Advertising,1,Advertising
com.heyzap.internal,117,"1,55%",Advertising,Advertising,1,Advertising
com.appodeal.ads,110,"1,46%",Advertising,Advertising,1,Advertising
com.onesignal,97,"1,29%",Utils,Utils,1,Utils
com.unity3d.ads.android.data,88,"1,17%",Advertising,Advertising,1,Advertising
com.appodeal.ads.f,73,"0,97%",Advertising,Advertising,1,Advertising
c.m.x.a.am48,70,"0,93%",?,?,1,?
hotchemi.android.rate,69,"0,92%",App promotion,App promotion,1,App promotion
io.branch.referral,68,"0,90%",App promotion,App promotion,1,App promotion
com.google.zxing.client.android.share,64,"0,85%",Utils,Utils,1,Utils
org.onepf.oms.appstore,61,"0,81%",Utils,Utils,1,Utils
com.startapp.android.publish.common,57,"0,76%",Advertising,Advertising,1,Advertising
com.unity3d.ads2.api,54,"0,72%",Advertising,Advertising,1,Advertising
com.cootek.usage,53,"0,70%",Advertising,Utils,0,Utils
com.tutotoons.ane.AirTutoToons,52,"0,69%",Developer own lib,Developer own lib,1,Developer own lib
com.my.target.core.parsers,50,"0,66%",Utils,Advertising,0,Advertising
com.urbanairship.google,50,"0,66%",Analytics,Analytics,1,Analytics
com.aerserv.sdk,43,"0,57%",Advertising,Advertising,1,Advertising
com.appbrain.c,39,"0,52%",Advertising,Advertising,1,Advertising
com.babybus.utils,38,"0,50%",Developer own lib,Developer own lib,1,Developer own lib
com.alipay.sdk.util,38,"0,50%",Utils,Utils,1,Utils
com.tencent.connect.auth,35,"0,46%",Utils,Utils,1,Utils
com.yasirkula.unity,33,"0,44%",Utils,Utils,1,Utils
com.aviary.android.feather.library.utils,30,"0,40%",Utils,Utils,1,Utils
com.startapp.android.publish.i,29,"0,38%",Advertising,Advertising,1,Advertising
com.mobvista.msdk.base.utils,29,"0,38%",Advertising,Advertising,1,Advertising
com.ironsource.mobilcore,28,"0,37%",Advertising,Advertising,1,Advertising
com.amber.lib.applive.util.apps,27,"0,36%",Utils,Utils,0,Utils
com.apptentive.android.sdk.util,27,"0,36%",Analytics,Analytics,1,Analytics
com.vungle.publisher,27,"0,36%",Advertising,Advertising,1,Advertising
com.vungle.publisher.device.data,27,"0,36%",Advertising,Advertising,1,Advertising
com.yandex.metrica,26,"0,34%",Analytics,Advertising,1,Analytics
com.babybus.umeng,25,"0,33%",Developer own lib,Developer own lib,1,Developer own lib
com.quantcast.measurement.service,24,"0,32%",Analytics,Analytics,1,Analytics
com.blankj.utilcode.util,24,"0,32%",Utils,Utils,1,Utils
com.wisesharksoftware.app_photoeditor,23,"0,31%",Utils,Utils,1,Utils
com.google.vr.cardboard,23,"0,31%",Utils,Utils,1,Utils
com.paypal.android.a,23,"0,31%",Utils,Utils,1,Utils
com.safedk.android.internal.partials,23,"0,31%",Utils,Utils,1,Utils
io.presage.finder,23,"0,31%",Advertising,Advertising,1,Advertising
a.a.a,22,"0,29%",?,?,1,?
cmn,22,"0,29%",?,?,1,?
com.supersonicads.sdk.controller,22,"0,29%",Advertising,Advertising,1,Advertising
com.chartboost.sdk,21,"0,28%",Advertising,Advertising,1,Advertising
com.unity3d.ads.device,21,"0,28%",Advertising,Advertising,1,Advertising
com.startapp.android.publish.j,20,"0,27%",Advertising,Advertising,1,Advertising
c,19,"0,25%",?,?,1,?
cn.jiguang.a.a.c,19,"0,25%",Advertising,Utils,0,Advertising
com.cloudtech.ads.utils,19,"0,25%",Advertising,Advertising,1,Advertising
com.threatmetrix.TrustDefenderMobile,19,"0,25%",Utils,Utils,1,Utils
com.adtech.mobilesdk.publisher.compatibility,17,"0,23%",Advertising,Advertising,1,Advertising
com.kikatech.theme,17,"0,23%",Developer own lib,Developer own lib,1,Developer own lib
com.startapp.android.publish.h,17,"0,23%",Advertising,Advertising,1,Advertising
com.adincube.sdk.util.b,17,"0,23%",Advertising,Advertising,1,Advertising
com.mologiq.analytics,16,"0,21%",Advertising,Advertising,1,Advertising
com.qisi.plugin.m,16,"0,21%",Developer own lib,Developer own lib,1,Developer own lib
o,16,"0,21%",?,?,1,?
im.delight.android.webview,16,"0,21%",Utils,Utils,1,Utils
com.cmcm.utils,16,"0,21%",Advertising,Advertising,1,Advertising
com.mobvista.msdk.base.controller,16,"0,21%",Advertising,Advertising,1,Advertising
io.presage.,16,"0,21%",Analytics,Analytics,1,Analytics
com.amber.lib.widget.status,15,"0,20%",Utils,Utils,0,Graphical library
com.narvii.util.crashlytics,15,"0,20%",Developer own lib,Utils,0,Utils
com.narvii.util,15,"0,20%",Developer own lib,Developer own lib,1,Developer own lib
com.inmobi.commons.internal,15,"0,20%",Advertising,Advertising,1,Advertising
com.amber.lib.store.utils,13,"0,17%",Utils,Utils,0,Utils
com.unity3d.ads.android2.data,13,"0,17%",Advertising,Advertising,1,Advertising
com.baidu.mobstat,13,"0,17%",?,Utils,0,Utils
com.tappx.a.a.a.a.a,13,"0,17%",Advertising,Advertising,1,Advertising
com.tencent.tauth,12,"0,16%",Utils,Game developer connection authentication library ?,1,Utils
com.appbrain.a,12,"0,16%",Advertising,Advertising,1,Advertising
com.mobvista.msdk.base.c,12,"0,16%",Advertising,Advertising,1,Advertising
com.ihs.device.clean.junk.util,12,"0,16%",?,?,1,?
com.microsoft.intune.mam.client.content.pm,11,"0,15%",Utils,Utils,1,Utils
net.appcloudbox.common.config,11,"0,15%",Developer own lib,Developer own lib,1,Developer own lib
com.psvplugins.priorityapp,11,"0,15%",Developer own lib,Developer own lib,1,Developer own lib
kr.co.smartstudy.b,11,"0,15%",Developer own lib,Developer own lib,0,Developer own lib
anywheresoftware.b4a.phone,11,"0,15%",Utils,Utils,1,Utils
